"Net generation for other gases Net generation : other gases : all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=0g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.OOG-US-99.M~ELEC.GEN.OOG-US-1.M~ELEC.GEN.OOG-US-94.M~ELEC.GEN.OOG-US-97.M&columnchart=ELEC.GEN.OOG-US-99.M~ELEC.GEN.OOG-US-1.M~ELEC.GEN.OOG-US-94.M~ELEC.GEN.OOG-US-97.M&map=ELEC.GEN.OOG-US-99.M&freq=M&start=200101&end=201910&ctype=map&ltype=pin&rtype=s&pin=~ELEC.GEN.COW-US-99.M~ELEC.GEN.PEL-US-99.M~ELEC.GEN.PC-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.OOG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.SUN-US-99.M~ELEC.GEN.GEO-US-99.M~ELEC.GEN.BIO-US-99.M~ELEC.GEN.WWW-US-99.M~ELEC.GEN.WAS-US-99.M~ELEC.GEN.HPS-US-99.M~ELEC.GEN.OTH-US-99.M~ELEC.GEN.TSN-US-99.M~ELEC.GEN.DPV-US-99.M&rse=0&maptype=0"
"Sun Jan 05 2020 19:41:41 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
Units: thousand megawatthours
,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910
"US-AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20472,0.20555,0.23856,0.21887,0.21949,0.24442,0.2499,0.26067,0.25052,0.21183,0.20231,0.23147,0.24476,0.24873,0.22107,0.21758,0.21458,0.2385,0.22557,0.24923,0.22219,0.18871,0.18476,0.20278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-AL",25.283,14.084,12.521,13.806,12.118,17.348,18.856,19.978,17.496,15.597,12.117,9.943,10.241,8.776,9.623,10.964,11.072,8.646,10.367,8.336,9.855,9.631,12.78,2.25,17.409,10.577,16.988,13.07,14.793,16.139,15.1,12.369,10.639,16.264,18.434,8.588,10.04841,10.69241,14.06842,13.41741,14.80342,14.56542,15.35442,17.27442,16.86242,19.26841,19.11141,16.47542,14.41017,13.96687,14.42424,3.91023,10.78724,8.7857,8.08523,5.63954,7.86906,6.37957,6.62573,5.98009,10.25524,14.63908,11.35565,16.18871,12.20348,9.6324,10.62784,5.72382,9.33353,10.30709,9.76349,11.07837,14.26821,2.70491,15.62504,17.10931,17.1877,16.39692,15.50822,11.81009,12.88168,18.24403,15.74435,20.88769,17.99142,16.69829,18.69081,13.35989,16.38869,16.6192,21.00566,21.62357,15.19412,16.10162,14.29112,15.77445,11.30332,10.77458,11.30302,9.65851,2.18037,0.16658,8.22054,14.51375,17.7764,17.48061,12.77645,18.57369,17.70805,6.59527,26.17719,19.79595,28.88531,26.31355,29.28816,29.41112,26.91316,19.95381,23.04059,22.64313,24.55573,26.04789,7.71686,25.55439,28.37559,26.95531,18.82725,26.13869,25.76884,27.15673,26.68294,27.75388,27.57164,29.03613,29.90518,30.79517,28.51014,5.00763,4.85307,5.29632,4.72191,4.51411,4.21457,3.22629,20.22839,19.1922,22.19597,19.19867,28.09719,25.12872,30.24669,26.59293,26.79943,23.08204,22.99607,3.97727,14.16156,17.23019,10.74705,21.44334,22.38371,22.71329,24.49837,2.58372,3.64652,3.44508,18.92446,18.62619,2.92128,2.41893,2.75493,1.9768,0.04138,0.31076,19.71665,4.71872,0.87566,0.05784,0.03329,0.0361,0.09204,1.93726,2.05413,2.18045,2.27789,2.21939,1.31972,1.97638,2.48505,2.71322,2.60854,2.18898,1.51473,1.14095,2.20238,2.18998,0.24646,0.13836,0.23663,0.24423,0.22039,0.24936,0.23613,0.21075,0.38566,0.41754,0.44698,0.32519,0.33062,0.39593,0.47365,0.51745,0.38471,0.34063,0.35601,0.42932,,,,,,,,,,
"US-AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-CA",97.569,101.84,103.127,92.264,108.042,99.957,107.268,102.434,78.93,66.816,66.371,105.881,103.435,79.38,115.71,114.715,105.9,144.882,143.046,92.55,87.389,100.201,61.953,90.892,105.751,101.054,162.22,142.983,151.034,149.762,168.686,157.671,150.827,149.018,152.721,167.288,195.17976,181.20009,233.75605,172.48048,146.05223,194.71728,162.44654,137.34608,185.55862,171.47809,129.42022,156.32957,182.47482,170.80961,175.47367,165.90882,215.00132,224.85595,223.29736,230.67711,190.26284,170.59706,152.40277,177.82243,169.54138,172.69402,175.89642,157.43069,187.90276,164.53966,178.08728,163.63439,189.07827,175.9188,157.98435,129.73802,124.86372,129.63514,186.11121,181.89559,195.58521,193.84454,163.6548,134.69674,162.94734,119.14087,114.41127,111.31984,143.30903,109.51185,136.04075,180.30099,153.91647,142.21729,133.26818,135.4392,146.21227,137.05387,141.26401,126.32945,149.99018,139.93677,106.46954,96.93663,136.56932,123.98827,166.91377,164.47992,155.09001,129.37185,128.08967,125.00792,139.40817,121.57434,133.41502,135.16982,153.00047,140.6543,166.34974,189.55884,139.49726,111.20005,123.62824,141.18445,123.90771,98.0257,160.18807,132.98153,118.10118,136.65972,145.37334,154.10475,161.97123,131.37916,156.85366,147.44132,151.37674,136.92374,146.63675,132.91984,130.87436,126.0288,135.1494,130.9934,97.91397,125.4291,93.99267,75.92478,110.4236,113.25018,151.06825,127.52788,111.74856,111.29816,116.41448,115.4386,137.66118,101.22473,117.34295,92.32161,93.99616,101.78837,89.31978,115.18829,94.66778,99.46755,115.41926,115.21569,126.958,119.11873,138.33389,123.47753,180.37674,106.78868,108.94135,103.17199,126.44698,138.6011,158.0415,146.87027,127.58786,98.31734,109.79735,143.69726,153.21752,130.5637,109.02563,127.18083,131.24253,118.64683,119.60321,111.64362,105.01587,111.89428,108.55965,100.222,75.49278,97.23516,116.92484,128.46484,135.78229,117.27506,109.76623,123.48404,131.74566,127.73696,127.29328,117.13417,118.21445,142.85454,123.1011,115.60364,142.61844,132.71125,124.83633,123.2648,116.70841,108.26953,104.9534,100.82449,91.42606,97.0124,133.68532,122.88173,156.43485,126.67366,166.08028,119.2086,124.66368,125.85428
"US-CO",,,,,,,,,,,,,0.084,0.279,0.453,0.383,0.175,0.324,0.243,0.066,0.348,0.08,0.083,0.366,0.402,0.515,0.275,1.068,0.053,0.263,0.1,0.221,0.178,0.073,0.228,0.625,0.089,0.07,0.184,0.078,0.295,0.059,0.065,0.18,0.265,0.211,0.163,0.094,0.084,0.146,0.57,0.082,0.416,0.062,0.054,0.248,0.137,0.272,0.276,0.083,0.081,0.09,0.148,0.05,0.172,0.675,0.069,0.064,0.362,0.303,0.069,0.436,0.3394,0.21222,0.04768,0.15661,0.04234,0.18207,0.31639,0.0335,0.18947,0.15855,0.18307,0.05016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-CT",0.137,0.15,0.22,0.104,0.062,0.156,0.13,0.105,0.066,0.187,0.049,0.132,,,8.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12361,0.12859,0.14492,0.11752,0.11277,0.13066,0.13308,0.15347,0.14489,0.13809,0.117,0.1214,0.127,0.138,0.179,0.03,0.139,0.085,0.162,0.216,0.16,0.079,0.181,0.151,0.31527,0.2051,0.11739,0.16377,0.20735,0.09354,0.176,0.14198,0.07641,0.33178,0.25365,0.11338,,,,,,,,,,,,,,,,,,,,,,,,,,0.04558,0.02417,0.30321,0.0926,0.02609,0.00267,2.06123,2.04066,2.35501,3.8851,3.09953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-DE",12.552,11.235,15.449,11.666,11.085,12.935,13.542,15.377,11.5,13.756,12.189,15.776,14.904,0.051,19.472,,14.145,19.627,0.033,0.039,24.373,21.94,18.261,13.5,9.266,7.145,12.662,6.722,9.727,24.507,11.254,11.533,17.767,21.737,12.201,40.626,9.59359,18.02671,21.08725,13.24775,16.29238,25.30524,30.28854,33.3518,28.3769,32.8006,30.69038,30.65893,23.59891,20.2033,18.01104,21.4799,21.65955,67.628,30.0181,84.42186,86.89575,68.47302,21.92397,28.35478,79.17028,75.69847,86.96887,88.25081,77.53009,32.24434,70.41862,92.85826,72.64568,89.21519,70.1187,75.14866,67.51626,53.34715,81.99024,65.16426,51.76045,49.22627,67.6085,65.78062,53.91352,51.76003,60.93337,52.1045,79.93508,65.64492,69.86269,7.68499,8.18614,60.98174,69.60582,50.81028,33.06143,9.43351,10.28204,10.93376,31.62607,7.06178,,0.00059,2.42967,48.47332,47.00903,34.35003,47.25843,7.57744,1.35105,,,,,,,,,,,,,,,,,,17.858,24.276,30.993,42.653,34.923,18.198,21.009,18.344,19.821,16.118,18.108,20.899,17.51324,31.00146,38.48496,34.13317,19.65077,13.24127,7.58283,7.03572,10.42743,4.72008,4.50517,6.53543,8.37506,7.93548,28.63597,20.1424,26.92552,7.06066,15.98463,14.16077,15.56634,7.79067,9.11907,9.13864,9.38097,17.39714,26.60605,28.3266,48.18426,16.22467,29.00826,9.63622,12.26807,11.44916,12.15647,11.73185,14.93698,22.55057,20.02943,23.67401,50.53312,9.29323,24.38555,25.07298,18.67238,9.94378,14.66426,30.1248,26.58234,28.694,32.62777,31.96001,24.76446,17.44577,17.9629,24.03486,14.54042,11.99286,25.35363,31.06325,20.64697,24.98738,33.4161,25.50044,19.84234,28.84315,21.0856,13.24104,17.7123,12.23143,19.21242,14.50291,16.3148,24.44043,29.47283,29.11392,28.88568,26.05673,21.95086,12.28596,13.01537,15.06263,13.53431,8.81104,14.58881,13.04765,30.5168,22.96478,19.16569,19.27071
